,hs6,hs6_name
0,000000,Unknown
1,010121,Pure-bred_breeding_animals
2,010129,Other
3,010229,Other
4,010290,Other
5,010392,Weighing_50_kg_or_more
6,010612,Whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_manatees_and_dugongs_(mammals_of_the_order_Sirenia);seals_sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
7,010619,Other
8,010620,Reptiles_(including_snakes_and_turtles)
9,010690,Other
10,020130,Boneless
11,020230,Boneless
12,020311,Carcasses_and_half-carcasses
13,020312,Hams__shoulders_and_cuts_thereof__with_bone_in
14,020319,Other
15,020321,Carcasses_and_half-carcasses
16,020322,Hams__shoulders_and_cuts_thereof__with_bone_in
17,020329,Other
18,020610,Of_bovine_animals__fresh_or_chilled
19,020629,Other
20,020630,Of_swine__fresh_or_chilled
21,020641,Livers
22,020649,Other
23,020713,Cuts_and_offal__fresh_or_chilled
24,020714,Cuts_and_offal__frozen
25,020727,Cuts_and_offal__frozen
26,020745,Other__frozen
27,020755,Other__frozen
28,020760,Of_guinea_fowls_:
29,020840,Of_whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_of_manatees_and_dugongs_(mammals_of_the_order_Sirenia);_of_seals__sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
30,020890,Other
31,021011,Hams__shoulders_and_cuts_thereof__with_bone_in
32,021012,Bellies_(streaky)_and_cuts_thereof
33,021019,Other
34,021099,Other
35,030111,Freshwater
36,030191,Trout_(Salmo_trutta__Oncorhynchus_mykiss__Oncorhynchus_clarki__Oncorhynchus_aguabonita__Oncorhynchus_gilae__Oncorhynchus_apache_and_Oncorhynchus_chrysogaster)
37,030192,Eels_(Anguilla_spp.)
38,030193,Carp(Cyprinus_carpio__Carassius_carassius__Ctenopharyngodon_idellus__Hypophthalmichthys_spp.__Cirrhinus_spp.__Mylopharyngodon_piceus)
39,030194,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
40,030195,Southern_bluefin_tunas_(Thunnus_maccoyii)
41,030199,Other
42,030213,Pacific_salmon_(Oncorhynchus_nerka__Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
43,030235,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
44,030243,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
45,030254,Hake_(Merluccius_spp.__Urophycis_spp.)
46,030259,Other
47,030289,Other
48,030290,Livers_and_roes
49,030312,Other_Pacific_salmon_(Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
50,030345,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
51,030353,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
52,030366,Hake_(Merluccius_spp.__Urophycis_spp.)
53,030369,Other
54,030389,Other
55,030390,Livers_and_roes
56,030444,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
57,030449,Other
58,030453,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
59,030459,Other
60,030474,Hake_(Merluccius_spp.__Urophycis_spp.)
61,030479,Other
62,030487,Tunas_(of_the_genus_Thunnus)__skipjack_or_stripe-bellied_bonito_(Euthynnus_(Katsuwonus)_pelamis)
63,030489,Other
64,030494,Alaska_Pollack_(Theragra_chalcogramma)
65,030495,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae__other_than_Alaska_Pollack_(Theragra_chalcogramma)
66,030499,Other
67,030520,Livers_and_roes_of_fish__dried__smoked__salted_or_in_brine
68,030532,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
69,030539,Other
70,030549,Other
71,030559,Other
72,030569,Other
73,030571,Shark_fins
74,030572,Fish_heads__tails_and_maws
75,030579,Other
76,030611,Rock_lobster_and_other_sea_crawfish_(Palinurus_spp.__Panulirus_spp.__Jasus_spp.)
77,030612,Lobsters_(Homarus_spp.)
78,030614,Crabs
79,030615,Norway_lobsters_(Nephrops_norvegicus)
80,030616,Cold-water_shrimps_and_prawns_(Pandalus_spp.__Crangon_crangon)
81,030617,Other_shrimps_and_prawns
82,030619,Other__including_flours__meals_and_pellets_of_crustaceans__fit_for_human_consumption
83,030621,Rock_lobster_and_other_sea_crawfish_(Palinurus_spp.__Panulirus_spp.__Jasus_spp.)
84,030622,Lobsters_(Homarus_spp.)
85,030624,Crabs
86,030625,Norway_lobsters_(Nephrops_norvegicus)
87,030626,Cold-water_shrimps_and_prawns_(Pandalus_spp.__Crangon_crangon)
88,030627,Other_shrimps_and_prawns
89,030629,Other__including_flours__meals_and_pellets_of_crustaceans__fit_for_human_consumption
90,030719,Other
91,030729,Other
92,030739,Other
93,030741,Live__fresh_or_chilled
94,030749,Other
95,030759,Other
96,030760,Snails__other_than_sea_snails
97,030771,Live__fresh_or_chilled
98,030779,Other
99,030789,Other
100,030791,Live__fresh_or_chilled
101,030799,Other
102,030811,Live__fresh_or_chilled
103,030819,Other
104,030821,Live__fresh_or_chilled
105,030829,Other
106,030830,Jellyfish_(Rhopilema_spp.)
107,030890,Other
108,040110,Of_a_fat_content__by_weight__not_exceeding_1%
